scenario,frame_id,ground_truth_object,detected,app_label,label_correct,judgement,notes
S3,1,chair,yes,chair,yes,TP,
S3,1,handbag,yes,handbag,yes,TP,
S3,1,person,yes,person,yes,TP,
S3,2,chair,yes,chair,yes,TP,
S3,2,handbag,yes,handbag,yes,TP,
S3,2,person,yes,person,yes,TP,
S3,3,chair,yes,chair,yes,TP,
S3,3,handbag,yes,handbag,yes,TP,
S3,3,person,yes,person,yes,TP,
S3,4,chair,yes,chair,yes,TP,
S3,4,handbag,yes,handbag,yes,TP,
S3,4,person,yes,person,yes,TP,
S3,5,chair,yes,chair,yes,TP,
S3,5,handbag,yes,handbag,yes,TP,
S3,5,person,yes,person,yes,TP,
S3,6,chair,yes,chair,yes,TP,
S3,6,handbag,yes,handbag,yes,TP,
S3,6,person,yes,person,yes,TP,
S3,7,chair,yes,chair,yes,TP,
S3,7,handbag,yes,handbag,yes,TP,
S3,7,person,yes,person,yes,TP,
S3,8,chair,yes,chair,yes,TP,
S3,8,handbag,yes,handbag,yes,TP,
S3,8,person,yes,person,yes,TP,
S3,9,chair,yes,chair,yes,TP,
S3,9,handbag,yes,handbag,yes,TP,
S3,9,person,yes,person,yes,TP,
S3,10,chair,yes,chair,yes,TP,
S3,10,handbag,yes,handbag,yes,TP,
S3,10,person,yes,person,yes,TP,
S3,11,chair,yes,chair,yes,TP,
S3,11,handbag,yes,handbag,yes,TP,
S3,11,person,yes,person,yes,TP,
S3,12,chair,yes,chair,yes,TP,
S3,12,handbag,yes,handbag,yes,TP,
S3,12,person,yes,person,yes,TP,
S3,13,chair,yes,chair,yes,TP,
S3,13,handbag,yes,handbag,yes,TP,
S3,13,person,yes,person,yes,TP,
S3,14,chair,yes,chair,yes,TP,
S3,14,handbag,yes,handbag,yes,TP,
S3,14,person,yes,person,yes,TP,
S3,15,chair,yes,chair,yes,TP,
S3,15,handbag,yes,handbag,yes,TP,
S3,15,person,yes,person,yes,TP,
S3,16,chair,yes,chair,yes,TP,
S3,16,handbag,yes,handbag,yes,TP,
S3,16,person,yes,person,yes,TP,
S3,17,chair,yes,chair,yes,TP,
S3,17,handbag,yes,handbag,yes,TP,
S3,17,person,yes,person,yes,TP,
S3,18,chair,yes,chair,yes,TP,
S3,18,handbag,yes,handbag,yes,TP,
S3,18,person,yes,person,yes,TP,
S3,19,chair,yes,chair,yes,TP,
S3,19,handbag,yes,handbag,yes,TP,
S3,19,person,yes,person,yes,TP,
S3,20,chair,yes,chair,yes,TP,
S3,20,handbag,yes,handbag,yes,TP,
S3,20,person,yes,person,yes,TP,
S4,1,chair,yes,chair,yes,TP,
S4,1,dining table,yes,dining table,yes,TP,
S4,2,chair,yes,chair,yes,TP,
S4,2,dining table,yes,chair,no,TP,Dining table misclassified as chair
S4,3,chair,yes,chair,yes,TP,
S4,3,dining table,yes,dining table,yes,TP,
S4,4,chair,yes,chair,yes,TP,
S4,4,dining table,yes,dining table,yes,TP,
S4,5,chair,yes,chair,yes,TP,
S4,5,dining table,yes,dining table,yes,TP,
S4,6,chair,yes,chair,yes,TP,
S4,6,dining table,yes,dining table,yes,TP,
S4,7,chair,yes,chair,yes,TP,
S4,7,dining table,yes,dining table,yes,TP,
S4,8,chair,yes,chair,yes,TP,
S4,8,dining table,yes,dining table,yes,TP,
S4,9,chair,yes,chair,yes,TP,
S4,9,dining table,yes,dining table,yes,TP,
S4,10,chair,yes,chair,yes,TP,
S4,10,dining table,yes,dining table,yes,TP,
S4,11,chair,yes,chair,yes,TP,
S4,11,dining table,yes,dining table,yes,TP,
S4,12,chair,yes,chair,yes,TP,
S4,12,dining table,yes,dining table,yes,TP,
S4,13,chair,yes,chair,yes,TP,
S4,13,dining table,yes,dining table,yes,TP,
S4,14,chair,yes,chair,yes,TP,
S4,14,dining table,yes,dining table,yes,TP,
S4,15,chair,yes,chair,yes,TP,
S4,15,dining table,yes,dining table,yes,TP,
S4,16,chair,yes,chair,yes,TP,
S4,16,dining table,yes,dining table,yes,TP,
S4,17,chair,yes,chair,yes,TP,
S4,17,dining table,yes,dining table,yes,TP,
S4,18,chair,yes,chair,yes,TP,
S4,18,dining table,yes,dining table,yes,TP,
S4,19,chair,yes,chair,yes,TP,
S4,19,dining table,yes,dining table,yes,TP,
S4,20,chair,yes,chair,yes,TP,
S4,20,dining table,yes,dining table,yes,TP,
